   X,    Y,    Latitude,   Longitude, TMP_201906111700
  34,    9,   49.754356,  -96.628822,      -59.890
  35,    9,   49.755486,  -96.476008,      -59.890
  36,    9,   49.756506,  -96.323190,      -59.710
  37,    9,   49.757414,  -96.170368,      -59.710
  38,    9,   49.758210,  -96.017544,      -59.710
  39,    9,   49.758896,  -95.864717,      -59.710
  40,    9,   49.759470,  -95.711888,      -59.710
  41,    9,   49.759932,  -95.559057,      -59.710
  42,    9,   49.760284,  -95.406224,      -59.530
  43,    9,   49.760524,  -95.253391,      -59.530
  44,    9,   49.760653,  -95.100557,      -59.530
   1,   10,   49.753282, -101.674565,      -60.610
   2,   10,   49.758085, -101.521921,      -60.430
   3,   10,   49.762777, -101.369259,      -60.430
   4,   10,   49.767358, -101.216582,      -60.430
   5,   10,   49.771827, -101.063889,      -60.430
   6,   10,   49.776186, -100.911180,      -60.250
   7,   10,   49.780433, -100.758457,      -60.250
   8,   10,   49.784569, -100.605719,      -60.250
   9,   10,   49.788593, -100.452966,      -60.250
  10,   10,   49.792507, -100.300200,      -60.250
  11,   10,   49.796309, -100.147420,      -60.250
  12,   10,   49.799999,  -99.994627,      -60.250
  13,   10,   49.803579,  -99.841822,      -60.250
  14,   10,   49.807047,  -99.689004,      -60.250
  15,   10,   49.810404,  -99.536174,      -60.250
  16,   10,   49.813649,  -99.383333,      -60.250
  17,   10,   49.816784,  -99.230481,      -60.250
  18,   10,   49.819807,  -99.077617,      -60.250
  19,   10,   49.822718,  -98.924744,      -60.250
  20,   10,   49.825519,  -98.771860,      -60.250
  21,   10,   49.828208,  -98.618967,      -60.250
  22,   10,   49.830786,  -98.466065,      -60.250
  23,   10,   49.833252,  -98.313154,      -60.250
  24,   10,   49.835607,  -98.160234,      -60.250
  25,   10,   49.837851,  -98.007306,      -60.250
  26,   10,   49.839984,  -97.854371,      -60.250
  27,   10,   49.842005,  -97.701429,      -60.250
  28,   10,   49.843915,  -97.548479,      -60.070
  29,   10,   49.845714,  -97.395523,      -60.070
  30,   10,   49.847401,  -97.242561,      -60.070
  31,   10,   49.848977,  -97.089593,      -59.890
  32,   10,   49.850442,  -96.936620,      -59.890
  33,   10,   49.851796,  -96.783642,      -59.890
  34,   10,   49.853038,  -96.630660,      -59.890
  35,   10,   49.854168,  -96.477673,      -59.710
  36,   10,   49.855188,  -96.324683,      -59.710
  37,   10,   49.856096,  -96.171689,      -59.710
  38,   10,   49.856893,  -96.018692,      -59.710
  39,   10,   49.857578,  -95.865693,      -59.710
  40,   10,   49.858153,  -95.712691,      -59.530
  41,   10,   49.858615,  -95.559688,      -59.530
  42,   10,   49.858967,  -95.406683,      -59.530
  43,   10,   49.859207,  -95.253677,      -59.530
  44,   10,   49.859336,  -95.100671,      -59.530
   1,   11,   49.851852, -101.682094,      -60.430
   2,   11,   49.856656, -101.529278,      -60.430
   3,   11,   49.861349, -101.376445,      -60.430
   4,   11,   49.865931, -101.223596,      -60.250
   5,   11,   49.870402, -101.070731,      -60.250
   6,   11,   49.874761, -100.917851,      -60.250
   7,   11,   49.879009, -100.764955,      -60.250
   8,   11,   49.883146, -100.612045,      -60.250
   9,   11,   49.887171, -100.459121,      -60.250
  10,   11,   49.891085, -100.306182,      -60.250
  11,   11,   49.894888, -100.153230,      -60.250
  12,   11,   49.898580, -100.000265,      -60.070
  13,   11,   49.902160,  -99.847288,      -60.070
  14,   11,   49.905629,  -99.694298,      -60.070
  15,   11,   49.908986,  -99.541296,      -60.070
  16,   11,   49.912233,  -99.388282,      -60.070
  17,   11,   49.915368,  -99.235257,      -60.250
  18,   11,   49.918391,  -99.082222,      -60.250
  19,   11,   49.921304,  -98.929176,      -60.250
  20,   11,   49.924105,  -98.776120,      -60.250
  21,   11,   49.926794,  -98.623054,      -60.250
  22,   11,   49.929373,  -98.469979,      -60.250
  23,   11,   49.931840,  -98.316896,      -60.250
  24,   11,   49.934196,  -98.163803,      -60.070
  25,   11,   49.936440,  -98.010703,      -60.070
  26,   11,   49.938573,  -97.857595,      -60.070
  27,   11,   49.940595,  -97.704480,      -60.070
  28,   11,   49.942505,  -97.551358,      -60.070
  29,   11,   49.944304,  -97.398229,      -60.070
  30,   11,   49.945992,  -97.245095,      -59.890
  31,   11,   49.947568,  -97.091954,      -59.890
  32,   11,   49.949033,  -96.938808,      -59.890
  33,   11,   49.950387,  -96.785657,      -59.890
  34,   11,   49.951630,  -96.632502,      -59.890
  35,   11,   49.952761,  -96.479343,      -59.710
  36,   11,   49.953780,  -96.326179,      -59.710
  37,   11,   49.954689,  -96.173013,      -59.710
  38,   11,   49.955486,  -96.019843,      -59.710
  39,   11,   49.956171,  -95.866671,      -59.530
  40,   11,   49.956746,  -95.713496,      -59.530
  41,   11,   49.957209,  -95.560320,      -59.530
  42,   11,   49.957560,  -95.407142,      -59.530
  43,   11,   49.957800,  -95.253964,      -59.530
  44,   11,   49.957929,  -95.100784,      -59.350
   1,   12,   49.950332, -101.689641,      -60.430
   2,   12,   49.955138, -101.536652,      -60.430
   3,   12,   49.959832, -101.383647,      -60.250
   4,   12,   49.964415, -101.230626,      -60.250
   5,   12,   49.968886, -101.077589,      -60.250
   6,   12,   49.973246, -100.924536,      -60.250
   7,   12,   49.977495, -100.771468,      -60.250
   8,   12,   49.981633, -100.618386,      -60.070
   9,   12,   49.985659, -100.465289,      -60.070
  10,   12,   49.989574, -100.312178,      -60.070
  11,   12,   49.993378, -100.159054,      -60.070
  12,   12,   49.997070, -100.005916,      -60.070
  13,   12,   50.000651,  -99.852766,      -60.070
  14,   12,   50.004121,  -99.699603,      -60.070
  15,   12,   50.007479,  -99.546429,      -60.070
  16,   12,   50.010726,  -99.393242,      -60.070
  17,   12,   50.013861,  -99.240045,      -60.070
  18,   12,   50.016886,  -99.086837,      -60.070
  19,   12,   50.019799,  -98.933618,      -60.070
  20,   12,   50.022600,  -98.780389,      -60.250
  21,   12,   50.025291,  -98.627150,      -60.250
  22,   12,   50.027870,  -98.473903,      -60.070
  23,   12,   50.030337,  -98.320646,      -60.070
  24,   12,   50.032693,  -98.167381,      -60.070
  25,   12,   50.034938,  -98.014108,      -60.070
  26,   12,   50.037072,  -97.860827,      -60.070
  27,   12,   50.039094,  -97.707538,      -60.070
  28,   12,   50.041005,  -97.554243,      -60.070
  29,   12,   50.042804,  -97.400941,      -59.890
  30,   12,   50.044492,  -97.247634,      -59.890
  31,   12,   50.046069,  -97.094320,      -59.890
  32,   12,   50.047534,  -96.941001,      -59.710
  33,   12,   50.048888,  -96.787677,      -59.710
  34,   12,   50.050131,  -96.634349,      -59.710
  35,   12,   50.051262,  -96.481016,      -59.710
  36,   12,   50.052282,  -96.327679,      -59.710
  37,   12,   50.053191,  -96.174340,      -59.530
  38,   12,   50.053988,  -96.020997,      -59.530
  39,   12,   50.054674,  -95.867651,      -59.530
  40,   12,   50.055248,  -95.714303,      -59.530
  41,   12,   50.055711,  -95.560954,      -59.530
  42,   12,   50.056063,  -95.407603,      -59.350
  43,   12,   50.056303,  -95.254251,      -59.350
  44,   12,   50.056432,  -95.100898,      -59.350
   1,   13,   50.048722, -101.697204,      -60.430
   2,   13,   50.053529, -101.544043,      -60.430
   3,   13,   50.058224, -101.390865,      -60.250
   4,   13,   50.062807, -101.237672,      -60.250
   5,   13,   50.067280, -101.084462,      -60.250
   6,   13,   50.071641, -100.931237,      -60.070
   7,   13,   50.075891, -100.777996,      -60.070
   8,   13,   50.080029, -100.624741,      -60.070
   9,   13,   50.084056, -100.471471,      -60.070
  10,   13,   50.087972, -100.318188,      -60.070
  11,   13,   50.091777, -100.164890,      -60.070
  12,   13,   50.095470, -100.011580,      -60.070
