   X,    Y,    Latitude,   Longitude, HPBL_201906300000
   5,   10,   49.771827, -101.063889,     1750.880
   6,   10,   49.776186, -100.911180,     1557.120
   7,   10,   49.780433, -100.758457,     1557.120
   8,   10,   49.784569, -100.605719,     1386.720
   9,   10,   49.788593, -100.452966,     1386.880
  10,   10,   49.792507, -100.300200,     1235.040
  11,   10,   49.796309, -100.147420,     1388.160
  12,   10,   49.799999,  -99.994627,     1388.160
  13,   10,   49.803579,  -99.841822,     1237.600
  14,   10,   49.807047,  -99.689004,      496.480
  15,   10,   49.810404,  -99.536174,      164.160
  16,   10,   49.813649,  -99.383333,      164.160
  17,   10,   49.816784,  -99.230481,      164.000
  18,   10,   49.819807,  -99.077617,      121.920
  19,   10,   49.822718,  -98.924744,      207.520
  20,   10,   49.825519,  -98.771860,      208.000
  21,   10,   49.828208,  -98.618967,      208.000
  22,   10,   49.830786,  -98.466065,      252.640
  23,   10,   49.833252,  -98.313154,      209.600
  24,   10,   49.835607,  -98.160234,       82.560
  25,   10,   49.837851,  -98.007306,       82.560
  26,   10,   49.839984,  -97.854371,       41.440
  27,   10,   49.842005,  -97.701429,      567.040
  28,   10,   49.843915,  -97.548479,      690.880
  29,   10,   49.845714,  -97.395523,      627.680
  30,   10,   49.847401,  -97.242561,      627.680
  31,   10,   49.848977,  -97.089593,      758.720
  32,   10,   49.850442,  -96.936620,     1424.960
  33,   10,   49.851796,  -96.783642,     1807.680
  34,   10,   49.853038,  -96.630660,     1807.680
  35,   10,   49.854168,  -96.477673,     1805.600
  36,   10,   49.855188,  -96.324683,     1598.080
  37,   10,   49.856096,  -96.171689,     1417.760
  38,   10,   49.856893,  -96.018692,     1415.520
  39,   10,   49.857578,  -95.865693,     1415.520
  40,   10,   49.858153,  -95.712691,     1257.440
  41,   10,   49.858615,  -95.559688,     1119.840
  42,   10,   49.858967,  -95.406683,      818.880
  43,   10,   49.859207,  -95.253677,      902.080
  44,   10,   49.859336,  -95.100671,     1248.320
